,date,hour,hourly_polarity,datetime,polarity_diff
75,2022-02-27,09,0.15373298139628316,2022-02-2709,-0.054876488622931874
76,2022-02-27,10,0.140426746703715,2022-02-2710,-0.01330623469256817
77,2022-02-27,11,0.16330049952595077,2022-02-2711,0.022873752822235777
78,2022-02-27,12,0.14037123850845043,2022-02-2712,-0.02292926101750034
79,2022-02-27,13,0.20906887245395325,2022-02-2713,0.06869763394550282
80,2022-02-27,14,0.16039424223436727,2022-02-2714,-0.048674630219585985
81,2022-02-27,15,0.22465097706984072,2022-02-2715,0.06425673483547345
82,2022-02-27,16,0.2155773568687574,2022-02-2716,-0.009073620201083321
83,2022-02-27,17,0.08573014530188897,2022-02-2717,-0.12984721156686843
84,2022-02-27,18,-0.18723431890885506,2022-02-2718,-0.27296446421074405
