Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1971","1971","1000 US$","1513","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1972","1972","1000 US$","1431","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1973","1973","1000 US$","1464","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1974","1974","1000 US$","840","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1975","1975","1000 US$","1841","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1976","1976","1000 US$","1970","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1977","1977","1000 US$","1792","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1978","1978","1000 US$","1759","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1979","1979","1000 US$","2002","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1980","1980","1000 US$","2029","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1981","1981","1000 US$","2131","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1982","1982","1000 US$","2059","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1983","1983","1000 US$","2258","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1984","1984","1000 US$","2022","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1985","1985","1000 US$","1964","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1986","1986","1000 US$","3236","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1987","1987","1000 US$","3735","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1988","1988","1000 US$","2285","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1989","1989","1000 US$","1961","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1990","1990","1000 US$","3768","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1991","1991","1000 US$","2543","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02211","Raw milk of cattle","1992","1992","1000 US$","3884","A","Official figure"
