Variable:,pr
,Cuba,Camaguey,"Ciego De Avila",Cienfuegos,"Ciudad De La Habana",Granma,Guantanamo,Holguin,"Isla De La Juventud","La Habana","Las Tunas",Matanzas,"Pinar Del Rio","Sancti Spiritus","Santiago De Cuba","Villa Clara"
1963,1474.52,1537.15,1429.05,1323.38,1308.26,1581.22,1657.60,1585.37,1274.09,1332.63,1415.46,1263.80,1336.54,1488.33,1912.19,1372.95
1964,1360.44,1432.43,1334.14,1319.31,1341.79,1332.54,1217.53,1240.99,1438.82,1384.19,1247.09,1285.34,1537.64,1429.78,1478.63,1304.57
1965,1090.88,1063.50,1007.74,1138.74,1190.59,1026.80,927.51,949.53,1196.07,1196.20,966.68,1117.89,1325.21,1135.67,1097.29,1124.17
1966,1680.36,1663.71,1619.72,1775.73,1801.59,1556.37,1468.77,1524.56,1661.19,1797.55,1455.51,1707.26,1823.78,1835.09,1748.63,1802.16
1967,1109.06,1095.58,1105.23,1201.63,1312.66,940.77,771.19,872.32,1301.67,1310.41,917.35,1195.32,1431.37,1221.24,971.53,1198.91
1968,1499.52,1440.62,1523.54,1784.88,1885.27,1128.40,939.21,1000.82,1813.94,1934.66,1100.05,1847.40,1866.61,1735.53,1150.92,1786.77
1969,1816.58,1871.63,1803.70,1865.42,1901.65,1598.15,1539.65,1552.15,1935.52,1995.48,1547.75,1848.14,2167.90,1968.48,1793.00,1850.15
1970,1273.32,1232.25,1243.29,1410.02,1406.82,1130.34,1145.58,1031.03,1265.36,1449.55,1026.37,1404.55,1321.81,1418.35,1320.26,1406.42
1971,1168.82,1193.39,1156.24,1221.45,1272.25,1093.83,1105.34,1056.56,1139.79,1260.24,1034.18,1228.65,1083.82,1250.18,1216.35,1263.62
1972,1531.32,1432.80,1407.68,1630.74,1729.57,1299.91,1426.34,1339.20,1709.44,1768.13,1248.77,1633.71,1860.57,1593.23,1553.22,1630.18
1973,1373.92,1453.59,1346.82,1299.07,1291.03,1425.78,1259.49,1278.13,1361.88,1339.05,1327.75,1248.68,1489.84,1444.84,1535.42,1302.76
1974,1035.64,1070.49,991.42,985.16,972.92,1087.88,1073.06,967.85,970.84,1000.84,963.68,982.52,1024.98,1075.20,1224.09,991.70
1975,990.59,917.83,944.90,1120.05,1178.88,906.16,644.23,696.13,1209.73,1205.58,788.41,1137.11,1295.19,1099.21,844.98,1116.44
